Material_ID,Unit_Price,Stock_Levels,Lead_Time,Reorder_Point,Safety_Stock,Arrival Date,Ordering_Costs,Holding_Costs,Seasonality,Historical_Sales_Data,Supplier_ID
M119,84.33,202,13,194,58,10/30/2023,1240,4950,High,9644,SUPPLIER_16
M115,230.61,988,15,27,83,10/24/2023,1100,4010,High,2019,SUPPLIER_45
M075,309.54,249,7,197,51,10/30/2023,1300,3970,Medium,7831,SUPPLIER_8
M167,407.54,404,8,139,51,10/5/2023,1700,2330,Medium,6695,SUPPLIER_53
M279,326.9,712,10,144,90,10/31/2023,540,3930,High,3530,SUPPLIER_25
M257,246.75,236,4,175,27,10/11/2023,1340,4920,Medium,9446,SUPPLIER_76
M465,,874,6,45,42,10/19/2023,1900,1760,Low,5968,
M238,224.69,86,9,167,31,9/15/2023,1020,1790,Low,6114,SUPPLIER_70
M405,284.54,747,9,72,80,10/16/2023,850,2980,High,9405,SUPPLIER_70
,,904,6,151,52,2023-a,400,690,Low,1249,
M290,471.49,405,6,69,19,10/6/2023,1990,3300,High,5960,SUPPLIER_50
M448,108.78,511,6,108,19,10/21/2023,950,1140,Medium,2423,SUPPLIER_77
,240t,550,11,170,35,9/13/2023,1940,1200,Low,9273,
M462,291.22,905,14,73,97,9/11/2023,400,2390,High,3957,SUPPLIER_38
M2p,,869,4,124,55,,1900,4850,Low,4526,SUPPLIER_47
M392,391.39,979,11,129,85,9/19/2023,300,3210,Medium,6361,SUPPLIER_25
M273,431.22,334,7,178,65,10/6/2023,1890,3950,Low,4578,SUPPLIER_50
M395,70.03,170,10,102,34,10/12/2023,240,2420,Low,2212,SUPPLIER_15
M064,311.59,739,8,97,17,10/22/2023,1970,2480,Medium,7611,SUPPLIER_56
M132,279.68,610,4,191,95,9/17/2023,1980,2070,High,5164,SUPPLIER_28
M406,291.39,206,15,63,84,9/23/2023,1170,3110,High,5569,SUPPLIER_46
,,971,15,18,89,,730,1440,Medium,8510,
M023,188.16,915,4,35,57,10/9/2023,570,3740,Medium,3581,SUPPLIER_74
M500,341.13,180,10,57,96,9/7/2023,410,1590,Low,4827,SUPPLIER_27
M399,182.2,173,6,46,87,10/7/2023,1190,3880,High,3417,SUPPLIER_72
M209,230.66,396,10,127,59,10/25/2023,1480,4060,Low,9699,SUPPLIER_70
M317,118.64,869,15,179,48,9/5/2023,1200,3850,Medium,2127,SUPPLIER_44
M094,,193,14,62,85,2023-b,630,2340,Medium,5758,
M2j,61l,239,5,129,59,2023-y,1430,4880,High,6176,SUPPLIER_72
M428,453.16,622,6,64,93,10/30/2023,900,1340,High,8321,SUPPLIER_31
M380,193.78,529,5,60,75,9/20/2023,1550,980,Low,1833,SUPPLIER_1
M382,89b,52,6,180,56,,1370,2150,High,1672,SUPPLIER_69
M056,380.19,364,4,28,55,10/13/2023,1350,2730,Low,9051,SUPPLIER_32
M381,466.98,870,3,147,60,9/23/2023,750,2070,High,2550,SUPPLIER_64
M228,364.54,967,9,63,85,10/31/2023,1310,3340,Medium,1068,SUPPLIER_15
M0o,195.47,336,13,55,86,,1360,4100,Medium,9834,SUPPLIER_22
M296,108.28,279,11,175,44,9/17/2023,610,3690,Low,6881,SUPPLIER_21
M178,133.65,50,10,73,21,10/20/2023,770,1360,High,5310,SUPPLIER_32
M462,67.37,235,13,31,69,10/24/2023,500,1460,Low,6859,SUPPLIER_24
M287,189.06,436,14,46,53,10/25/2023,420,1180,High,3388,SUPPLIER_6
M207,375.85,431,15,129,16,9/17/2023,1950,4800,High,4182,SUPPLIER_21
M051,274.23,815,4,33,94,10/21/2023,950,820,Low,9407,SUPPLIER_47
,,373,11,169,51,2023-h,260,4000,Medium,6280,
,,187,14,35,28,2023-s,960,3770,Low,2545,SUPPLIER_60
,,550,13,177,84,2023-r,1660,4730,Low,7026,
M007,338.39,589,6,154,66,10/3/2023,680,2300,High,7914,SUPPLIER_55
M359,330.54,353,9,114,54,10/7/2023,970,3680,Low,2159,SUPPLIER_78
M490,208.26,104,6,85,48,10/27/2023,860,2340,Medium,7234,SUPPLIER_29
M323,67.53,1000,7,114,16,9/30/2023,490,2460,Low,8003,SUPPLIER_39
,,949,6,48,96,10/2/2023,1860,850,Low,1670,
M216,178.17,579,11,169,42,10/29/2023,1010,2410,High,8508,SUPPLIER_9
M488,194.84,789,7,102,88,9/8/2023,1970,3930,Medium,1238,SUPPLIER_68
M074,186.09,692,13,30,85,10/8/2023,1430,2810,Low,6464,SUPPLIER_46
M324,370.93,726,4,166,86,10/4/2023,840,3310,Medium,5264,SUPPLIER_68
M223,156.99,932,14,59,90,9/25/2023,660,3150,High,6131,SUPPLIER_66
,,438,6,186,46,2023-z,1770,2480,High,5829,
M074,166.27,148,6,68,47,9/28/2023,900,2600,Low,8035,SUPPLIER_58
,,459,7,106,33,,1410,1270,High,5193,SUPPLIER_14
,142.12,344,4,104,8,2023-q,1160,2380,Medium,9116,SUPPLIER_66
,,260,11,117,61,9/16/2023,1450,2510,Medium,9348,
M350,378.38,232,11,177,70,9/14/2023,200,3380,High,2914,SUPPLIER_40
M227,295.72,63,8,143,43,10/10/2023,1310,2780,High,7678,SUPPLIER_10
M2t,78.6,874,14,32,44,,1060,1040,Low,3111,
M314,335.13,660,12,72,42,9/25/2023,590,4780,Low,6754,SUPPLIER_14
M138,393.65,33,15,121,9,2023-s,990,2930,Low,1714,SUPPLIER_47
M191,265.68,388,13,56,75,9/10/2023,1510,880,Medium,7374,SUPPLIER_83
M252,,675,7,122,93,2023-n,1480,4680,Low,1493,SUPPLIER_16
M227,72.4,928,3,30,19,9/30/2023,1710,1510,Low,2991,SUPPLIER_66
,280y,448,3,96,79,,1220,900,Medium,6692,SUPPLIER_83
,269w,282,13,102,45,,1600,3260,Low,7847,SUPPLIER_45
M183,70.49,921,9,85,10,9/13/2023,420,2490,High,9206,SUPPLIER_37
M306,433.49,379,13,155,84,10/8/2023,1980,3710,Low,8171,SUPPLIER_39
M218,302.98,625,10,81,89,10/16/2023,830,4080,High,8793,SUPPLIER_70
M4p,418.95,181,9,173,39,,290,4870,Low,8682,
,448d,379,13,63,63,10/31/2023,620,660,Medium,2956,
M278,488.04,902,14,39,60,10/10/2023,1360,3850,Medium,7184,SUPPLIER_73
,449.21,960,6,113,61,2023-c,540,970,Low,1211,
,281.42,280,15,109,21,,1570,4910,Medium,9681,SUPPLIER_50
,26d,984,4,153,96,2023-d,330,1160,Medium,9150,SUPPLIER_71
,,133,15,74,30,,1330,4670,High,1760,
M096,130.01,975,5,187,27,10/4/2023,980,3570,High,8509,SUPPLIER_2
M145,,443,10,155,56,,340,2520,Medium,9236,
M4x,156f,187,7,139,37,,1120,1610,Medium,3810,
,,856,11,158,45,,1150,2060,Low,8252,
M356,185.23,283,5,176,19,9/10/2023,1100,3680,Low,7665,SUPPLIER_73
M171,448.94,64,6,153,63,9/19/2023,1720,2500,Low,8665,SUPPLIER_79
M456,,615,13,21,41,,590,3960,High,5522,SUPPLIER_31
,68l,737,10,63,17,2023-b,480,2300,Low,4689,SUPPLIER_2
M4j,,817,9,69,82,2023-u,1760,4440,Medium,9288,SUPPLIER_6
,150d,194,5,19,64,2023-s,420,4890,High,6109,
M112,459.66,677,4,98,38,9/5/2023,270,3330,Low,8240,SUPPLIER_59
M092,330.39,913,12,139,21,9/19/2023,900,3890,Medium,8435,SUPPLIER_45
M208,359.53,542,3,30,61,9/5/2023,970,680,High,4502,SUPPLIER_29
M383,216.18,896,7,199,64,10/18/2023,970,2870,High,5719,SUPPLIER_68
M300,276.97,85,3,84,85,10/28/2023,1660,4570,Low,4261,SUPPLIER_20
M462,275.31,915,6,95,66,10/20/2023,770,860,Low,7810,SUPPLIER_50
M223,271.84,323,11,160,44,10/25/2023,1760,1600,Medium,4280,SUPPLIER_7
M220,,484,14,59,38,,1790,3060,Medium,4069,
M453,93.91,609,12,84,83,9/19/2023,340,3510,Medium,3496,SUPPLIER_59
M493,178.84,685,13,112,100,9/23/2023,1780,3280,Medium,2150,SUPPLIER_69
M456,124.23,845,4,191,20,9/29/2023,1590,4730,Low,3434,SUPPLIER_23
M0k,438o,776,13,27,65,2023-b,1320,2900,Medium,4503,
M355,412.29,405,5,190,73,9/18/2023,1910,3610,High,7462,SUPPLIER_80
M155,462.78,470,13,20,25,10/22/2023,1190,2160,Low,7826,SUPPLIER_55
M354,305.5,535,15,102,14,9/6/2023,220,1050,Medium,6773,SUPPLIER_63
M0q,117n,256,5,40,97,10/3/2023,860,4000,High,8799,SUPPLIER_17
M231,354.3,123,12,95,8,9/6/2023,1250,3140,High,3867,SUPPLIER_65
M433,243.92,748,9,190,42,9/12/2023,660,4180,High,9977,SUPPLIER_50
M386,364.7,719,14,200,31,9/15/2023,380,3860,High,6068,SUPPLIER_19
,,750,3,181,77,9/27/2023,710,2470,Low,8172,
M196,52.66,846,8,31,11,9/6/2023,440,2630,High,9452,SUPPLIER_38
M356,389.52,446,3,128,26,9/29/2023,260,3430,Low,1529,SUPPLIER_83
M323,388.51,941,7,88,51,10/16/2023,950,4080,Low,4489,SUPPLIER_48
M170,276.81,401,5,45,65,9/26/2023,1180,2660,Medium,2796,SUPPLIER_34
M386,370.51,365,11,27,93,10/18/2023,770,3280,Low,4130,SUPPLIER_13
M474,57.63,49,13,194,81,9/20/2023,580,4770,Medium,5044,SUPPLIER_25
M139,201.72,668,3,63,37,10/4/2023,1680,3610,Low,3919,SUPPLIER_83
M357,351.62,399,11,119,99,10/12/2023,1030,3740,High,2158,SUPPLIER_57
M179,132.9,58,14,113,74,9/21/2023,490,4810,High,3814,SUPPLIER_28
M248,267n,204,15,89,49,2023-d,1930,2270,Medium,8085,
,,56,8,31,16,9/17/2023,1870,3240,Low,1389,SUPPLIER_68
,,145,7,95,71,,1920,1440,High,6157,SUPPLIER_16
M041,363.48,794,15,134,93,10/9/2023,1370,4410,Low,2512,SUPPLIER_15
M252,208.31,108,11,147,24,9/10/2023,440,4230,Low,5263,SUPPLIER_62
M451,20y,628,9,15,51,2023-h,930,1150,Medium,7302,SUPPLIER_1
M300,59.84,21,10,39,98,9/29/2023,880,4080,High,1156,SUPPLIER_35
,236b,82,3,187,95,,870,1610,Low,5754,SUPPLIER_83
M450,,55,5,137,73,10/16/2023,1580,3560,High,3192,
M4t,,60,3,144,5,,460,2690,Medium,3295,SUPPLIER_80
M417,272.45,923,4,102,76,10/25/2023,1150,1870,High,5635,SUPPLIER_4
M036,,165,3,98,9,,840,2130,High,8114,
M286,420.31,189,12,104,33,10/27/2023,1350,4900,Medium,1435,SUPPLIER_41
M136,126.43,424,11,112,61,10/8/2023,770,2900,High,4663,SUPPLIER_67
M002,341.84,59,15,53,60,10/15/2023,1630,3020,High,5155,SUPPLIER_38
M056,75.86,582,6,147,83,9/21/2023,370,1060,High,3832,SUPPLIER_62
M190,,38,14,132,43,,300,3850,Low,6091,
M0y,93.23,60,7,40,99,,1770,4090,Low,9859,
M111,58.06,483,4,67,72,9/12/2023,530,3410,High,4155,SUPPLIER_33
M140,297.86,889,11,117,64,10/13/2023,1060,4600,Low,9142,SUPPLIER_37
M224,473.74,421,13,144,21,9/18/2023,200,1630,Medium,9973,SUPPLIER_24
,223.66,70,3,83,44,2023-e,1450,3120,High,5871,
M267,362.7,546,10,69,73,10/19/2023,230,3520,Medium,9067,SUPPLIER_21
M360,65.84,310,6,56,25,10/14/2023,800,5000,Medium,9034,SUPPLIER_58
M457,396.21,413,5,132,74,9/30/2023,1220,2940,High,6313,SUPPLIER_66
M142,309.35,158,6,198,93,10/8/2023,1860,1350,Low,2586,SUPPLIER_71
M149,142.49,645,12,11,25,10/22/2023,1990,690,Medium,8429,SUPPLIER_73
M323,327.82,909,7,138,32,10/26/2023,230,4320,Low,4012,SUPPLIER_82
M417,85.26,152,13,200,64,9/5/2023,770,4080,Low,7701,SUPPLIER_26
M398,453l,44,3,128,26,,1650,3670,High,2050,SUPPLIER_6
M068,346.03,749,11,13,78,10/11/2023,1340,3880,High,3426,SUPPLIER_23
M2y,,974,8,16,59,,880,3640,Medium,1579,
M0z,418w,275,4,76,74,2023-l,440,3040,High,1576,SUPPLIER_25
M304,383.15,763,13,150,10,10/12/2023,580,2080,High,1380,SUPPLIER_5
M111,470.01,411,11,110,32,10/14/2023,1920,1840,High,4648,SUPPLIER_31
M380,460.6,605,6,59,64,10/15/2023,220,3300,Low,6582,SUPPLIER_78
M426,224.21,983,12,68,68,9/20/2023,780,4240,Medium,1406,SUPPLIER_83
M057,336.98,701,8,68,50,10/2/2023,310,3710,Medium,2423,SUPPLIER_68
,195n,422,8,104,95,,920,4060,Low,3396,
M278,199.72,238,11,54,83,9/27/2023,53,206,High,8420,SUPPLIER_48
M064,179.77,478,11,176,7,9/26/2023,172,247,Low,3992,SUPPLIER_74
M083,278.77,762,11,88,99,9/16/2023,21,219,High,4597,SUPPLIER_57
M221,,240,9,11,16,,156,223,High,9862,
M497,466.05,141,11,17,8,10/20/2023,194,181,High,6260,SUPPLIER_28
M263,483.33,276,11,113,39,9/29/2023,104,391,Low,7401,SUPPLIER_44
M101,71.27,332,3,13,39,10/19/2023,120,106,High,5344,SUPPLIER_66
M293,335.7,204,15,87,6,9/28/2023,119,239,High,3546,SUPPLIER_6
M439,112.04,326,14,55,37,9/5/2023,126,96,Medium,4402,SUPPLIER_66
M177,100.57,215,11,109,22,9/22/2023,141,126,High,4286,SUPPLIER_27
M181,279.74,743,12,29,35,10/4/2023,106,200,Medium,7379,SUPPLIER_23
M468,202b,546,15,74,88,10/27/2023,92,321,High,2083,
M029,481.48,543,14,102,39,9/11/2023,38,356,High,3267,SUPPLIER_28
M285,211.36,988,7,67,51,10/27/2023,158,191,Low,7118,SUPPLIER_58
M391,207.54,489,4,19,53,9/8/2023,139,171,Medium,8923,SUPPLIER_39
M371,306.52,870,8,75,61,10/30/2023,25,216,Low,3598,SUPPLIER_43
M233,354.66,517,4,62,20,9/17/2023,108,180,High,1111,SUPPLIER_10
M495,80.03,996,5,27,21,9/25/2023,154,478,High,1021,SUPPLIER_32
M398,313.92,150,4,135,69,9/15/2023,31,271,Medium,5458,SUPPLIER_13
M440,,67,15,184,70,,172,240,Low,6719,SUPPLIER_14
M480,481.38,677,8,19,41,9/25/2023,133,102,Low,7583,SUPPLIER_17
M205,364.68,834,14,109,63,10/25/2023,90,134,High,2271,SUPPLIER_7
M0d,492.01,55,9,55,46,2023-g,54,409,Low,2761,SUPPLIER_58
,,355,3,133,28,10/9/2023,41,265,Medium,5170,SUPPLIER_33
M357,442.36,827,15,200,16,10/4/2023,144,389,Low,5768,SUPPLIER_17
M169,123.3,195,8,116,41,9/6/2023,119,273,High,4419,SUPPLIER_83
M233,351.39,740,8,14,99,10/1/2023,43,320,Low,6875,SUPPLIER_45
M452,479.49,243,4,166,100,9/27/2023,180,277,High,4384,SUPPLIER_76
M2j,,21,10,29,8,,84,161,Low,2257,
M090,395.3,579,12,167,73,9/20/2023,94,416,Low,4985,SUPPLIER_76
M105,297.91,552,8,188,89,9/9/2023,36,403,High,3259,SUPPLIER_31
M2s,128a,893,8,157,14,,145,248,Medium,3507,SUPPLIER_81
M391,190.38,588,9,142,39,10/1/2023,194,462,High,2898,SUPPLIER_20
M287,362.6,393,10,61,23,9/19/2023,162,379,High,5098,SUPPLIER_40
,,575,5,198,51,,88,324,High,4405,SUPPLIER_52
M007,77.69,645,8,45,25,9/6/2023,81,79,Low,9717,SUPPLIER_41
M4i,,556,13,74,24,2023-b,27,156,High,6852,
M212,,901,6,154,86,,137,88,Low,6288,
M190,77.02,524,3,171,90,9/19/2023,125,469,Medium,7455,SUPPLIER_75
M476,346.91,312,6,167,15,10/26/2023,129,52,Low,6145,SUPPLIER_71
M180,262.33,128,10,20,24,10/24/2023,162,84,High,6492,SUPPLIER_46
M351,187.89,795,4,54,36,10/29/2023,112,339,Low,4420,SUPPLIER_56
M1q,163.39,699,5,91,40,2023-b,73,267,Low,8898,SUPPLIER_78
,354.05,88,13,88,28,10/20/2023,71,404,Medium,1748,
M287,243.63,690,14,132,60,9/4/2023,138,278,Low,7395,SUPPLIER_5
M146,409.27,378,6,172,90,10/3/2023,183,500,Medium,2808,SUPPLIER_2
M157,207.92,565,10,155,40,9/10/2023,138,448,Medium,5104,SUPPLIER_37
M412,193.01,852,9,80,70,9/20/2023,117,304,High,2980,SUPPLIER_71
M015,165.88,59,15,186,81,9/2/2023,98,299,High,6372,SUPPLIER_66
M1z,321.59,700,15,80,78,,131,203,Low,5169,SUPPLIER_67
M433,455.53,390,7,118,95,9/23/2023,161,348,Medium,4226,SUPPLIER_14
M019,137.18,654,12,179,71,9/14/2023,41,304,Medium,2590,SUPPLIER_16
M154,425.65,745,11,107,97,9/15/2023,21,500,Medium,1244,SUPPLIER_79
M332,445.98,762,13,59,90,9/12/2023,110,125,High,3343,SUPPLIER_59
M275,,957,7,35,35,10/6/2023,67,352,High,7925,
M239,156.94,73,3,87,85,9/27/2023,79,402,Low,7197,SUPPLIER_52
M492,445.6,957,13,107,65,10/23/2023,70,250,Low,5242,SUPPLIER_52
M484,272.54,880,3,132,62,10/18/2023,73,444,Low,3126,SUPPLIER_46
M163,102.33,787,6,186,99,9/24/2023,52,383,Low,7065,SUPPLIER_70
M069,91.81,855,14,126,60,10/27/2023,54,330,Medium,8215,SUPPLIER_10
M154,185.8,457,10,172,78,10/26/2023,130,234,High,9049,SUPPLIER_26
M077,392.14,636,4,195,62,9/15/2023,141,187,Medium,7906,SUPPLIER_60
M475,125.71,381,14,24,70,9/18/2023,131,107,Medium,8993,SUPPLIER_67
M226,306.82,692,4,24,56,10/14/2023,113,417,Medium,6003,SUPPLIER_3
M190,325.03,955,5,157,57,10/31/2023,146,206,High,1473,SUPPLIER_26
M083,392.75,338,3,94,80,9/24/2023,71,245,High,3886,SUPPLIER_55
M235,68.5,440,11,124,66,9/14/2023,170,203,Low,4937,SUPPLIER_38
M497,97.89,949,4,114,78,9/24/2023,102,458,Medium,7393,SUPPLIER_31
M402,405.2,541,4,176,100,9/19/2023,86,92,High,7396,SUPPLIER_36
M087,361.91,635,12,153,11,9/26/2023,25,476,Low,8226,SUPPLIER_71
M249,133.87,78,6,145,5,9/5/2023,103,87,Low,4558,SUPPLIER_44
M0x,,34,10,81,23,9/21/2023,42,495,High,2805,
M291,224.71,892,4,136,35,10/22/2023,147,75,Low,7287,SUPPLIER_12
M295,453.81,755,8,197,53,10/22/2023,193,379,Medium,3872,SUPPLIER_79
M405,150.56,197,8,144,61,9/12/2023,162,486,Medium,3767,SUPPLIER_36
M249,495.49,784,4,118,89,10/16/2023,192,223,Low,5050,SUPPLIER_7
M237,95.23,264,4,127,88,9/25/2023,77,120,Medium,3455,SUPPLIER_1
M274,475.59,486,8,144,65,10/9/2023,81,337,High,7693,SUPPLIER_35
M148,448.07,233,10,37,29,9/8/2023,185,234,Low,3706,SUPPLIER_30
M144,310.9,318,10,128,85,9/28/2023,64,248,Low,9241,SUPPLIER_83
M400,347.61,874,12,88,75,10/4/2023,27,343,Medium,1873,SUPPLIER_2
M193,,226,15,182,21,2023-f,102,183,Medium,7908,SUPPLIER_43
M278,326.84,820,9,75,90,10/22/2023,60,445,Low,7214,SUPPLIER_67
M433,290.06,68,4,180,66,9/17/2023,152,356,Medium,1767,SUPPLIER_80
M176,408,694,7,94,41,10/16/2023,96,384,Medium,6904,SUPPLIER_15
M076,62.81,502,12,146,51,9/20/2023,117,417,Low,9846,SUPPLIER_35
M309,59.44,172,12,154,15,10/23/2023,104,383,Low,5758,SUPPLIER_3
M291,168u,746,4,114,13,2023-v,75,308,Low,6173,SUPPLIER_39
M448,195.28,216,13,99,51,10/28/2023,94,278,Low,6119,SUPPLIER_26
,,711,7,41,77,,121,499,High,8327,
M460,387.88,225,13,136,16,10/6/2023,134,242,Medium,3858,SUPPLIER_42
M1d,146.8,385,14,122,13,2023-w,53,261,Low,7320,SUPPLIER_72
M018,139.84,991,7,17,65,9/9/2023,162,147,Low,1582,SUPPLIER_19
,,77,15,130,39,,120,141,High,1860,
M118,208.56,879,11,85,49,10/1/2023,159,277,Medium,6585,SUPPLIER_20
M263,365.13,750,3,47,77,10/24/2023,168,166,Medium,9616,SUPPLIER_5
M284,313.76,255,7,51,54,9/29/2023,198,69,Low,7356,SUPPLIER_47
M334,225.16,661,12,83,78,9/26/2023,172,352,Low,6860,SUPPLIER_39
M082,,464,3,129,70,2023-s,53,237,Low,9960,
M167,424.67,355,4,34,54,10/5/2023,63,376,Medium,8210,SUPPLIER_66
M326,432.66,313,5,10,60,10/17/2023,31,315,High,5050,SUPPLIER_58
M284,478.27,596,11,145,96,10/2/2023,51,271,High,2390,SUPPLIER_54
,,820,3,72,77,,176,261,Medium,4875,SUPPLIER_82
,493l,453,10,185,91,,67,189,High,9049,SUPPLIER_6
M249,158.59,976,7,159,12,9/4/2023,129,447,High,1901,SUPPLIER_8
M486,358.11,34,10,165,12,10/31/2023,104,110,Medium,3957,SUPPLIER_7
M232,389.39,572,14,197,53,9/12/2023,59,183,Low,9015,SUPPLIER_42
,460.34,480,13,102,14,,48,470,High,2843,SUPPLIER_30
M025,451.39,229,4,160,95,9/17/2023,120,479,Low,4796,SUPPLIER_28
,,725,6,47,95,,148,388,Low,4420,SUPPLIER_9
M490,406.04,401,4,192,83,10/4/2023,45,372,Low,2444,SUPPLIER_31
M103,256.8,817,14,190,99,9/2/2023,145,304,Medium,1231,SUPPLIER_19
,272x,123,4,99,89,2023-g,88,228,High,1814,SUPPLIER_70
,,123,8,140,33,10/21/2023,186,111,High,7565,
M178,387.79,795,13,54,26,10/2/2023,27,71,Low,9445,SUPPLIER_44
M022,189.78,187,11,67,91,10/5/2023,159,393,Medium,5388,SUPPLIER_51
M154,120.45,131,5,172,22,9/30/2023,111,490,Low,5322,SUPPLIER_45
M108,220.04,792,14,18,89,10/4/2023,164,120,High,4681,SUPPLIER_73
,,37,10,191,24,2023-x,47,65,Low,7497,SUPPLIER_53
M2p,,248,7,131,34,,25,253,High,6771,SUPPLIER_27
M325,222.26,213,13,25,59,9/3/2023,73,266,High,9233,SUPPLIER_32
M372,207.82,569,12,54,47,10/8/2023,70,481,Low,5570,SUPPLIER_10
M270,,921,8,127,85,2023-p,52,477,Medium,6847,
M198,64.33,859,5,68,84,9/8/2023,117,234,Medium,8396,SUPPLIER_26
,,674,13,157,9,,75,366,High,9746,SUPPLIER_37
M082,168.23,920,5,173,7,9/4/2023,47,360,Medium,6302,SUPPLIER_74
M2x,,961,8,184,71,10/8/2023,176,150,Medium,5590,SUPPLIER_27
M218,456.06,355,5,89,86,9/21/2023,121,123,Medium,7493,SUPPLIER_60
M1x,,497,11,66,65,,171,114,Low,5349,
,231.97,544,15,123,11,,86,380,High,1125,SUPPLIER_22
M126,355.7,945,3,45,55,9/12/2023,136,164,Low,4195,SUPPLIER_8
M444,494.71,257,6,45,44,9/29/2023,93,307,Low,2611,SUPPLIER_71
,,863,14,124,13,10/10/2023,133,344,High,3053,SUPPLIER_67
,,281,11,114,75,,52,378,High,4590,SUPPLIER_34
M036,341.96,555,8,151,59,9/8/2023,143,68,Low,6242,SUPPLIER_10
M373,359.83,76,5,33,66,2023-w,154,113,Medium,4441,SUPPLIER_22
,68.62,865,14,120,36,,126,376,High,4794,SUPPLIER_69
,,433,4,99,95,2023-x,125,268,Low,9257,
M084,454.22,406,5,119,41,9/21/2023,89,465,Medium,8829,SUPPLIER_29
,,789,13,140,79,10/9/2023,149,369,High,4294,
,164.82,577,4,38,5,,139,367,High,4536,
M429,93.31,798,15,95,36,9/11/2023,44,462,Medium,3028,SUPPLIER_11
M101,347.1,357,4,10,78,10/23/2023,92,346,High,8050,SUPPLIER_74
M2p,112.25,731,10,53,62,2023-d,21,246,High,5478,SUPPLIER_77
M128,85.81,155,6,25,97,9/9/2023,67,260,Medium,4191,SUPPLIER_53
,243v,351,7,171,41,,43,123,Medium,4491,
,,463,5,118,59,,24,369,High,7712,
,308x,653,12,27,69,,147,106,High,9612,
M179,446.44,639,6,177,8,9/13/2023,122,160,High,6287,SUPPLIER_26
M033,394.03,875,14,127,18,10/3/2023,182,405,Medium,6303,SUPPLIER_82
M344,305.39,233,12,43,63,9/19/2023,115,334,Medium,6406,SUPPLIER_13
M112,359.44,568,4,73,37,9/9/2023,93,317,Medium,8660,SUPPLIER_7
M431,58.12,384,7,22,66,9/25/2023,185,191,Medium,6886,SUPPLIER_68
M181,157.7,163,3,130,22,9/27/2023,184,151,Medium,9227,SUPPLIER_8
M291,204.55,527,8,103,17,9/29/2023,179,65,Low,6612,SUPPLIER_26
M339,15h,923,12,143,91,10/10/2023,69,367,Low,5397,
M417,,676,5,134,35,2023-u,71,246,Medium,9473,SUPPLIER_30
,59.59,789,10,109,48,,129,288,High,3455,SUPPLIER_45
M461,55.27,302,10,24,24,9/24/2023,147,167,Low,1816,SUPPLIER_70
M264,353.75,779,12,107,32,10/22/2023,70,159,Low,7594,SUPPLIER_45
,234h,855,4,134,80,10/1/2023,72,117,High,6941,
M295,270.3,922,3,13,31,9/7/2023,69,191,Low,8575,SUPPLIER_39
M355,159.55,731,12,125,76,9/30/2023,135,185,Low,7664,SUPPLIER_6
M302,331.92,445,4,52,12,9/21/2023,159,389,High,7912,SUPPLIER_16
M291,350.84,181,12,76,94,10/4/2023,49,238,Medium,6533,SUPPLIER_83
M342,198.22,754,10,96,68,9/10/2023,138,265,Medium,6397,SUPPLIER_66
M3r,191w,96,13,150,85,,20,227,Low,6448,
,458i,304,8,13,73,,134,199,Medium,5905,
,,819,15,102,40,2023-h,125,117,Low,2495,
,,353,9,171,90,9/21/2023,65,166,High,8818,
M480,426.2,356,13,39,61,9/16/2023,200,475,Medium,8162,SUPPLIER_65
M468,205.32,293,8,120,44,10/15/2023,160,280,High,4234,SUPPLIER_83
M500,244.61,763,14,170,7,9/4/2023,138,196,Low,4920,SUPPLIER_39
M095,192.56,786,12,135,44,10/29/2023,106,291,High,8310,SUPPLIER_42
M365,201.19,244,10,190,28,10/19/2023,46,173,High,5927,SUPPLIER_74
M204,,891,14,71,31,2023-b,113,497,Medium,4482,
M003,106.38,83,5,123,21,9/18/2023,168,183,Medium,3820,SUPPLIER_32
M040,313.03,607,11,148,68,10/2/2023,155,320,Medium,4026,SUPPLIER_48
M114,229.64,106,8,58,28,10/28/2023,42,111,Medium,1673,SUPPLIER_56
M314,335.89,783,9,33,90,10/29/2023,85,177,Medium,8375,SUPPLIER_48
M230,468.58,21,15,123,97,10/6/2023,139,184,Low,7534,SUPPLIER_67
M2u,,823,6,200,34,,138,459,High,7199,SUPPLIER_14
M497,269.24,501,12,183,75,2023-g,39,348,Low,9812,SUPPLIER_20
M399,198.7,376,6,194,62,10/30/2023,30,486,Medium,6755,SUPPLIER_34
M478,201.06,694,9,12,49,10/30/2023,132,343,Low,8036,SUPPLIER_68
M254,343.28,821,9,186,11,10/18/2023,80,301,Low,3098,SUPPLIER_68
M422,466.77,246,13,90,75,10/18/2023,140,205,Medium,9104,SUPPLIER_41
M408,189.46,740,3,172,74,10/25/2023,186,494,Medium,1277,SUPPLIER_10
M328,223.19,432,12,112,20,10/30/2023,41,486,High,7117,SUPPLIER_55
M299,438.66,454,8,85,95,9/22/2023,160,278,Medium,2174,SUPPLIER_29
,182.41,135,7,93,96,9/8/2023,148,172,Medium,9647,
M194,141.86,762,11,17,25,9/4/2023,96,158,Low,1742,SUPPLIER_40
M357,318.41,490,7,66,18,10/15/2023,135,88,Low,5187,SUPPLIER_32
M349,264.79,425,5,76,13,9/7/2023,92,225,Medium,7665,SUPPLIER_2
M006,192.01,746,9,182,88,9/8/2023,80,107,Low,2369,SUPPLIER_40
M104,309.6,809,10,88,56,9/4/2023,56,437,Medium,2909,SUPPLIER_34
