Location,Date,Temperature,Humidity,Wind_Speed,CO2_Ambient_Level
Sousse,7/21/2024,18.9,23,11,390.59
Nabeul,3/29/2024,11.8,89,8,484.13
Gabès,3/10/2024,17.6,79,8.4,409.81
Sfax,9/8/2024,26.9,34,17.7,476.06
Tunis,4/9/2024,24.3,25,5.6,361.19
Gabès,4/14/2024,vignt,23,14,380400
Nabeul,3/8/2024,40.9,83,19.1,490.46
Tunis,7/31/2024,11.8,93,4.9,489.71
Nabeul,2/23/2024,26.4,80,12.2,418.51
Gabès,6/9/2024,19.9,69,16.7,374.79
Sfax,8/14/2024,13.1,56,19.2,497.23
Tunis,1/29/2024,vignt,,12.2,434.35
Tunis,3/27/2024,27.3,85,6.3,373.11
Gabès,3/20/2024,32.6,81,12.3,478.14
Sfax,2/27/2024,10.9,26,3.5,442.92
Sousse,9/7/2024,18.8,20,8.6,394.2
Gabès,8/20/2024,11.5,65,9,379.78
Sfax,11/7/2024,42.8,73,18.2,422.16
Sousse,12/19/2024,30.7,,12.9,454190
Tunis,12/19/2024,26.6,80,18.3,379.65
Gabès,4/24/2024,43.7,26,10.4,427.66
Tunis,8/13/2024,44.8,21,11,438.42
Sousse,4/2/2024,33.4,60,5.4,352.81
Gabès,10/4/2024,34.4,33,12.6,437.56
Tunis,8/14/2024,33.2,98,1.3,481.19
Gabès,8/5/2024,33,87,5.5,464.42
Tunis,10/2/2024,40.2,97,15.9,454.52
Sfax,8/28/2024,15.2,87,1,396.51
Nabeul,8/4/2024,19.7,27,12.1,374.67
Nabeul,2/13/2024,43.6,66,11.4,498.46
Tunis,11/15/2024,29.8,47,19.4,462.46
Nabeul,9/7/2024,20.6,100,12.6,484.6
Sfax,1/12/2025,2305.5,49,13.7,454
Sousse,2/17/2024,36.2,38,18.8,438.22
Tunis,12/6/2024,30.2,78,12.2,478.58
Sfax,6/17/2024,42.7,95,19.3,469.41
Sousse,8/3/2024,31,28,4.7,373.59
Sfax,11/21/2024,30.6,45,8.4,433.56
Sousse,12/12/2024,43.9,53,8.4,392490
Nabeul,5/11/2024,40.9,37,12.7,364.68
Gabès,6/25/2024,24.2,38,15.1,452.19
Sfax,11/29/2024,28.9,,11.1,477.54
Tunis,11/25/2024,32.8,43,1.9,353.04
Sfax,1/10/2025,22.6,51,11.6,494220
Sfax,1/2/2025,28.1,27,8.5,378.85
Nabeul,9/5/2024,28,,12.4,383070
Sfax,2/18/2024,10.4,72,8.7,378.69
Tunis,1/21/2024,32.9,21,2.9,353.86
Tunis,1/5/2025,vignt,80,13.4,353820
Sousse,11/7/2024,37.2,100,18.8,394.41
Tunis,6/2/2024,10.9,68,8.7,448.08
Tunis,6/22/2024,33,76,11.2,378.68
Nabeul,12/10/2024,27,54,19.1,417.84
Tunis,10/22/2024,13.3,47,12.9,484.2
Gabès,6/11/2024,39.5,40,18.2,411.52
Sousse,4/4/2024,30.3,80,2.6,485.69
Sfax,9/5/2024,20.1,53,11.7,485.4
Sfax,2/3/2024,30,,14.2,443.44
Gabès,4/19/2024,11.3,77,2.6,358940
Tunis,12/27/2024,25.9,24,17.3,454.59
Gabès,8/11/2024,20.2,93,3.9,406.79
Nabeul,5/3/2024,23.7,48,18.1,436.78
Sousse,9/21/2024,33.3,47,15.3,434.17
Tunis,1/29/2024,40,28,10.6,353.58
Tunis,3/21/2024,31.3,70,3.1,471.06
Sfax,6/2/2024,33.2,60,15.5,491.5
Tunis,11/15/2024,43.5,25,7.7,493.78
Gabès,5/12/2024,20.4,84,7.2,421.25
Tunis,6/23/2024,20.8,39,5.7,424.19
Sousse,1/5/2025,42.2,,16.7,385.35
Tunis,1/5/2025,15.7,95,16.7,409.28
Tunis,9/17/2024,36.3,98,19,404.92
Nabeul,11/21/2024,20.5,74,6.3,397.05
Sousse,5/29/2024,34.7,67,15,417.78
Sfax,11/5/2024,25.1,59,4.2,493.13
Gabès,11/4/2024,39.9,58,4.5,429.08
Nabeul,9/4/2024,14.2,27,6.5,405.84
Sousse,6/16/2024,10.3,29,19.1,453.5
Sfax,4/5/2024,40.4,85,17.9,454.11
Tunis,9/13/2024,30.1,25,6.4,471.73
Nabeul,4/11/2024,28.6,69,5.8,389.05
Sousse,4/4/2024,37.2,21,15.3,408.46
Nabeul,4/24/2024,39.9,40,15.5,435.91
Sfax,12/2/2024,27,99,9.6,477440
Sousse,4/14/2024,11.8,41,2.4,432.89
Tunis,2/9/2024,10.7,94,17.7,420.99
Tunis,12/24/2024,28.5,73,16.6,355.38
Gabès,7/3/2024,35.9,98,1.2,488.86
Gabès,6/23/2024,17.8,29,5.4,410.95
Sousse,3/30/2024,37.4,63,18.1,366.15
Gabès,8/7/2024,34.4,85,4.4,430.74
Sfax,4/15/2024,vignt,89,11.8,355.59
Gabès,1/23/2024,16,96,17.5,472.58
Tunis,4/18/2024,19.3,31,4.5,376.71
Gabès,3/18/2024,22.2,,1.9,397060
Tunis,9/25/2024,31,70,14.2,476.92
Tunis,6/4/2024,vignt,50,2.8,425.14
Nabeul,1/12/2025,29.1,50,2.3,400.46
Tunis,7/5/2024,42.7,80,10.3,412.85
Tunis,8/18/2024,30.7,20,11.6,410.66
Gabès,9/2/2024,20.7,49,1.9,416.12
Sousse,5/30/2024,20.8,40,9.7,381.7
Tunis,9/14/2024,1138.5,22,19.1,418670
Nabeul,6/14/2024,26.9,62,12.7,370.44
Sfax,9/15/2024,vignt,46,1.2,475.55
Sousse,11/6/2024,16.3,58,7.4,440.8
Tunis,10/30/2024,22.9,26,1.2,385.15
Sousse,12/8/2024,23.5,42,16.5,356.2
Tunis,10/17/2024,28.3,,13.7,418240
Gabès,12/13/2024,30.6,59,15.7,487.11
Nabeul,5/6/2024,12.6,55,2.8,486.87
Gabès,5/29/2024,20.5,87,10.1,380.7
Sfax,7/19/2024,24.1,,4.3,473.86
Nabeul,11/14/2024,42.7,41,5.8,420.03
Sousse,3/3/2024,28.8,31,19.9,457.97
Sfax,1/14/2025,32.2,52,2.9,426.17
Sfax,3/19/2024,34.6,94,0.7,492.15
Gabès,11/13/2024,40.7,22,13,439.35
Nabeul,12/19/2024,1551,66,15.6,360.54
Sousse,8/22/2024,16.7,23,7.9,473.37
Tunis,9/26/2024,29.2,72,12.1,420.92
Sfax,12/18/2024,291.2,50,4.4,432.26
Gabès,10/18/2024,42.4,93,13.8,453.62
Nabeul,3/12/2024,30.7,25,3.9,395.82
Tunis,5/23/2024,23.5,67,10.1,372.06
Tunis,2/24/2024,10.4,22,7.6,467.54
Sfax,12/22/2024,42.9,90,10.5,407.73
Nabeul,1/25/2024,40.9,52,19.7,479.68
Nabeul,3/12/2024,41.5,56,16.8,463.96
Nabeul,4/19/2024,32.6,40,15.6,428.25
Tunis,3/22/2024,28.1,89,5.3,460.36
Tunis,11/20/2024,42.2,32,8.3,449.77
Tunis,5/8/2024,23,52,0.6,485.24
Tunis,6/11/2024,37.7,43,6.1,357.9
Tunis,6/3/2024,26,89,6.3,383840
Sousse,1/11/2025,43.4,95,6.9,477.77
Tunis,10/31/2024,30.6,68,5.7,420.63
Nabeul,1/23/2024,19,23,12.5,427.09
Sousse,11/10/2024,24.2,48,8.4,448.73
Tunis,7/9/2024,34,45,6.1,467.11
Sousse,12/14/2024,43.2,87,11.1,387.71
Sousse,12/13/2024,vignt,,16.4,488.06
Gabès,7/13/2024,40,53,16.2,426.05
Nabeul,6/18/2024,1852.8,69,16.6,377810
Nabeul,2/29/2024,41,,7,457.67
Sfax,10/16/2024,20.2,80,18.8,421.42
Tunis,6/6/2024,37.6,40,14.5,408.35
Tunis,3/14/2024,37.9,50,13.4,387.3
Tunis,12/16/2024,739.5,74,3.7,499.76
Nabeul,1/4/2025,26.2,61,10.8,466.47
Sfax,8/24/2024,24.5,66,10.4,358.92
Tunis,9/29/2024,17.7,92,1.3,454.95
Sousse,6/20/2024,vignt,29,17.5,481820
Tunis,9/11/2024,24.2,66,4.9,356.74
Gabès,9/13/2024,33.6,46,9.7,459.32
Sfax,8/16/2024,37.2,30,2.1,400.33
Nabeul,1/13/2025,17.7,78,2,404.51
Nabeul,12/14/2024,32.1,38,14.1,435.39
Sousse,9/30/2024,40.5,75,10.3,428.81
Sousse,9/29/2024,28.7,56,7.7,433.51
Sousse,5/31/2024,24.5,73,18.6,389.13
Tunis,3/23/2024,29.7,31,13.6,475.85
Tunis,9/20/2024,2668.8,75,4.7,356180
Sousse,10/18/2024,44.7,90,1.8,364.81
Nabeul,12/21/2024,33.6,25,11.5,365.74
Gabès,8/4/2024,3344,86,14.2,373750
Sousse,5/22/2024,940.8,,10.8,461.54
Nabeul,7/27/2024,44.3,60,3.5,457.35
Sousse,11/4/2024,38.1,66,18.3,389.34
Gabès,6/29/2024,32.8,88,6.2,385.45
Nabeul,3/6/2024,36.3,29,4.6,427.44
Tunis,12/29/2024,25.6,91,11.4,494.94
Gabès,2/13/2024,26.6,31,19,391.42
Gabès,7/14/2024,19,73,4,489.39
Tunis,10/10/2024,33.8,72,1,424.44
Sousse,1/18/2024,16.8,56,14.4,385.84
Sousse,11/1/2024,27.5,40,4.8,363.78
Tunis,10/23/2024,42.6,77,12.6,453.64
Tunis,2/4/2024,29.4,41,17.8,364.94
Sousse,2/4/2024,1524.9,59,2.2,450.72
Nabeul,3/7/2024,17.1,61,5.7,373.01
Sfax,4/8/2024,10.6,,18.4,377.41
Sfax,5/13/2024,18.8,80,1.2,389.15
Sfax,10/18/2024,18.8,76,6.3,445.96
Sousse,12/5/2024,21.3,66,4.8,369.98
Gabès,12/9/2024,31.6,93,15.7,426.41
Gabès,4/25/2024,40.2,63,9.8,396.13
Sfax,8/8/2024,42.8,78,1.1,362.09
Sousse,12/6/2024,34.5,66,10.3,371.58
Gabès,5/8/2024,vignt,26,18.7,443.39
Gabès,1/10/2025,22.2,47,12.7,422.61
Tunis,10/10/2024,26.8,87,7.7,415.4
Nabeul,5/3/2024,44.2,64,16,362.3
Gabès,1/7/2025,20.9,49,8.5,476.03
Gabès,4/30/2024,32.3,81,12.7,367.36
Nabeul,11/21/2024,26.4,55,7.6,360.99
Nabeul,10/14/2024,44,86,2.6,431.45
Sfax,3/27/2024,21.2,43,4.9,380.88
Sfax,8/26/2024,19.3,86,1.8,466.26
Sousse,1/2/2025,17,77,1.4,462.16
Sousse,1/12/2025,23.9,67,8,475.28
Nabeul,2/22/2024,vignt,78,16.2,417.1
Sfax,7/1/2024,29.6,57,15.4,406.5
Tunis,3/19/2024,24.7,63,10.9,496.87
Tunis,5/6/2024,1218.3,51,14.7,372.58
Nabeul,5/1/2024,27.9,75,6.8,360.22
Nabeul,11/20/2024,28.6,31,17.6,437.73
Sousse,12/14/2024,33.9,71,15.8,418.58
Sousse,10/18/2024,20.1,88,5.7,400.72
Nabeul,9/9/2024,30.2,91,0.7,375240
Sfax,4/10/2024,32.3,39,19.4,372.24
Sousse,6/8/2024,vignt,59,6.9,397.75
Tunis,11/16/2024,13.5,23,2.6,432.56
Tunis,8/6/2024,33.6,82,3.6,474.62
Nabeul,10/6/2024,25.3,74,8.8,481.09
Gabès,12/4/2024,30.9,48,2.4,370.98
Sousse,2/20/2024,40.4,68,14.4,384.17
Nabeul,6/10/2024,35.1,40,4.4,413.6
Sousse,6/10/2024,39.7,,0.5,420.63
Tunis,10/2/2024,42.9,36,9.1,432.44
Sousse,4/2/2024,28,62,14.8,441.49
Tunis,2/5/2024,vignt,49,11.8,472660
Sfax,5/19/2024,33.9,100,18.6,455.9
Gabès,9/11/2024,14.4,34,12.9,410.82
Sfax,12/10/2024,vignt,64,17.9,377.5
Gabès,9/1/2024,32.6,25,12.8,486.82
Gabès,6/15/2024,21.9,48,1.6,389.55
Gabès,2/1/2024,17.2,,18.8,379.24
Tunis,5/15/2024,35.1,51,13.7,355.67
Gabès,1/17/2025,21.4,59,11.1,421.05
Sousse,12/14/2024,27.6,50,16.3,418.84
Sousse,10/30/2024,41.5,63,0.9,366.02
Sfax,2/23/2024,38.4,51,9.3,366.36
Sfax,9/26/2024,33.2,70,8.7,387.97
Nabeul,12/20/2024,39.5,37,18.4,407.17
Sfax,8/31/2024,31.4,63,17,416.85
Sousse,6/7/2024,38.1,98,2.5,481.69
Gabès,4/6/2024,17.2,92,7.4,375.35
Gabès,3/14/2024,34.1,31,11.2,427.29
Gabès,6/25/2024,35.5,31,10.2,491.62
Sfax,11/22/2024,36.1,33,10.1,378.92
Tunis,2/24/2024,23.1,,9.5,357.74
Gabès,12/10/2024,25.1,21,5.3,495.19
Sousse,3/12/2024,18.5,92,13.5,391.27
Sousse,2/4/2024,44,91,14.4,365.28
Sfax,5/8/2024,44.7,40,14.6,441.65
Sousse,12/28/2024,11.8,46,16.3,461770
Sousse,2/6/2024,28.4,69,1.8,488.55
Sousse,2/1/2024,17.7,,1.3,424.73
Tunis,4/5/2024,27.1,22,0.9,417.77
Gabès,7/4/2024,20.4,82,11.8,451.68
Gabès,5/2/2024,27.4,66,8.5,439.06
Nabeul,11/22/2024,24.3,50,5.9,467.35
Sfax,12/27/2024,33.5,90,2,496.1
Sfax,10/30/2024,22.5,57,10,497.41
Sousse,1/26/2024,37.4,27,7.7,400.73
Sousse,9/4/2024,1743.4,29,10,439.52
Sousse,2/12/2024,28.1,28,2.7,384.49
Sousse,8/7/2024,12,88,7,476.57
Nabeul,1/2/2025,16,85,6.4,469.58
Sfax,8/22/2024,41.5,60,17.3,372.44
Tunis,7/27/2024,31.6,66,16.5,415.21
Sousse,5/16/2024,21.8,34,16.4,465.15
Tunis,9/13/2024,vignt,,12.5,483400
Tunis,9/7/2024,19.1,25,16.2,419.01
Tunis,1/27/2024,11.9,59,13.5,496.05
Gabès,11/17/2024,12.9,86,10,447.77
Nabeul,6/19/2024,21.1,57,2,409.35
Sfax,8/28/2024,28,57,18,424.15
Gabès,12/8/2024,16.7,34,5,374.14
Sfax,7/22/2024,21.5,64,9.7,387.29
Sousse,7/18/2024,25.9,76,11.2,481.73
Gabès,11/11/2024,28.4,42,2.4,438.18
Gabès,5/3/2024,13.9,33,14,433.45
Sfax,5/1/2024,vignt,55,16.9,474.27
Sousse,7/23/2024,41.4,81,9.4,443.77
Nabeul,1/5/2025,35.3,38,14.1,448.17
Gabès,1/11/2025,22.1,60,6.3,474.83
Nabeul,7/4/2024,27.4,29,13.8,376.15
Tunis,12/30/2024,39.3,92,11.6,361.88
Nabeul,2/17/2024,37.6,78,8.2,444.67
Sousse,11/12/2024,17.2,80,14.8,397.36
Nabeul,2/5/2024,20,62,17.3,415.86
Sousse,1/3/2025,588.8,,17.6,402.99
Sousse,1/17/2025,20.8,49,17.5,458.61
Nabeul,10/27/2024,22.1,93,12.9,434.23
Tunis,8/31/2024,11.7,26,3.4,352.57
Nabeul,5/1/2024,19.4,52,11.9,410.14
Tunis,2/6/2024,43.4,53,8.8,395.39
Tunis,7/4/2024,12.1,67,7.3,411.19
Sfax,3/7/2024,37.5,96,19.5,393.79
Sfax,6/14/2024,16,34,9.1,413.25
Tunis,11/27/2024,39.6,74,3.4,442.67
Tunis,8/27/2024,29.1,82,18.1,356.96
Gabès,4/18/2024,13.2,79,16.9,415.36
Nabeul,4/1/2024,30.4,,10.5,475300
Gabès,2/26/2024,16.1,49,18.4,385.43
Tunis,11/6/2024,18.1,36,13.1,415030
Gabès,10/13/2024,17.4,44,8.3,398.96
Gabès,2/1/2024,42.2,48,3.4,352.28
Tunis,11/21/2024,12.8,22,12.9,358.24
Sousse,12/9/2024,34,74,14.6,422.1
Sfax,7/23/2024,29.3,34,4.6,425.92
Nabeul,10/10/2024,19.4,31,10.5,458.7
Gabès,4/18/2024,11.9,43,8.6,445.3
Sfax,1/18/2024,40.3,23,9.3,418.08
Nabeul,4/16/2024,2340,73,5.3,434.89
Gabès,4/29/2024,11.1,47,18,483.11
Sfax,2/26/2024,38.8,27,20,372030
Nabeul,8/10/2024,24.1,84,19.1,386.77
Sfax,10/24/2024,12.6,61,14.9,361.41
Gabès,5/20/2024,25.6,24,12.1,399.86
Sfax,10/24/2024,35.1,88,15.6,434.18
Sfax,4/18/2024,31.4,92,2.2,432.65
Sfax,1/22/2024,3150,67,14.2,449.19
Tunis,2/13/2024,vignt,,16,380.25
Nabeul,8/8/2024,30.1,,8.6,490.38
Tunis,12/20/2024,12.9,37,6.5,356.08
Tunis,4/4/2024,11.5,50,11.4,494.49
Sfax,4/23/2024,23.6,43,18.9,411.22
Tunis,2/23/2024,30.3,98,12.9,498.95
Tunis,4/11/2024,33.4,24,9.1,398.89
Sfax,8/5/2024,35,52,12.1,435.99
Nabeul,4/16/2024,36.6,82,9.4,454.45
Gabès,7/23/2024,39.7,47,7.4,499.1
Nabeul,11/12/2024,36.1,42,19.6,370.31
Nabeul,4/4/2024,25.8,97,12.3,439.84
Sousse,10/5/2024,44.8,,1.9,392880
Sfax,1/4/2025,38,,17.5,389270
Tunis,7/25/2024,22.4,36,7.4,492.41
Sfax,8/11/2024,43.6,68,10.8,356.48
Sfax,5/6/2024,34.9,26,13.7,380.1
Sfax,10/22/2024,15.4,61,17.4,366.42
Sousse,1/10/2025,1170.4,,16.1,353990
Gabès,12/5/2024,15.2,55,16.1,472.55
Sousse,5/26/2024,572.6,90,3.6,412150
Tunis,12/1/2024,19.8,42,11.3,354.24
Gabès,7/3/2024,vignt,29,3.9,494.09
Gabès,7/15/2024,18.6,74,12.8,415.9
Gabès,10/15/2024,14.8,96,8.3,478.56
Tunis,3/17/2024,44.9,69,11.2,449.47
Nabeul,9/21/2024,26.7,34,3.7,398.81
Gabès,11/24/2024,25.5,27,17.7,499.21
Tunis,7/22/2024,30.2,42,14.5,451.62
Tunis,8/10/2024,29.4,34,2.8,420.83
Nabeul,11/3/2024,38.1,89,15.2,380.76
Nabeul,8/21/2024,26.5,88,15.2,457.18
Sfax,11/13/2024,30.4,93,17.5,387.78
Nabeul,2/17/2024,35.9,48,14.6,413.06
Gabès,11/1/2024,15.3,38,13.7,380.48
Sfax,1/14/2025,vignt,83,11.8,464.78
Sfax,3/21/2024,33.6,81,18.4,357.95
Sfax,1/24/2024,22.3,40,17.7,397.86
Gabès,9/30/2024,15.8,75,4.2,355.24
Nabeul,9/25/2024,14.9,58,12.9,397.13
Sousse,2/7/2024,34,93,4.6,453.38
Gabès,1/12/2025,28,92,19.3,360.7
Nabeul,5/26/2024,30.4,,14.6,431.88
Tunis,3/2/2024,42.3,84,10.5,368.05
Sousse,4/13/2024,11.9,99,8.4,487.51
Nabeul,1/27/2024,vignt,,6,422.81
Nabeul,8/30/2024,32.9,71,10,396.87
Nabeul,8/22/2024,33.9,40,11.9,393.12
Nabeul,10/1/2024,31.4,45,15.1,471.19
Gabès,4/10/2024,29.1,80,4.3,420.32
Gabès,7/12/2024,11.3,99,8.8,355.06
Sfax,7/1/2024,34.1,,6.3,351.35
Sfax,5/1/2024,25.1,100,18.2,432.92
Sousse,9/29/2024,3434.4,,19.3,360.02
Tunis,6/26/2024,30.2,83,14.2,494.42
Sousse,10/1/2024,vignt,,14.7,418.75
Sfax,3/20/2024,40.4,56,10.8,437
Nabeul,9/4/2024,30.9,44,15.5,432.97
Sfax,5/3/2024,42,46,16.3,434.1
Gabès,2/19/2024,14.7,92,5.5,386.02
Sfax,4/11/2024,38.4,78,7,389.32
Sousse,12/26/2024,23.4,58,4.3,493.77
Sousse,1/15/2025,23.1,41,15.9,385.46
Sfax,5/29/2024,21.9,43,18.7,370.45
Nabeul,1/9/2025,34.3,46,17.3,422830
Gabès,3/8/2024,44.3,35,14.8,445.08
Sousse,10/9/2024,43.1,22,9.8,399.26
Nabeul,4/23/2024,14.5,38,18.2,441.39
Sfax,8/6/2024,39.9,,11.2,482.82
Nabeul,11/25/2024,30.1,100,7.3,490.55
Tunis,5/2/2024,23.9,81,7.9,390.93
Nabeul,7/26/2024,39.9,24,0.6,451.17
Nabeul,1/5/2025,17.3,66,5.6,386.56
Sousse,5/8/2024,18.4,85,18.7,470.13
Nabeul,8/26/2024,22.4,23,14.6,405.02
Tunis,7/19/2024,33.5,89,1.3,410.77
Sfax,10/7/2024,16.9,34,10.4,469.7
Sousse,6/6/2024,3331.2,74,12.7,456.75
Tunis,2/18/2024,13.4,72,16.9,369.41
Sousse,12/16/2024,43.2,63,4.4,413.63
Tunis,1/28/2024,10.9,65,18.6,479.05
Sfax,6/16/2024,13.8,85,9,404.7
Sousse,5/13/2024,37.1,57,3.9,409.03
Sfax,2/23/2024,18.5,40,16,418.83
Nabeul,3/18/2024,12.7,53,11.1,493.94
Nabeul,3/6/2024,vignt,46,0.9,411890
Sfax,5/29/2024,20.5,92,9.8,405.43
Sfax,3/31/2024,23.2,38,15.9,445.49
Sfax,9/15/2024,14.2,27,14.3,392.49
Sousse,8/15/2024,38.8,93,19,386.95
Sousse,2/28/2024,10.7,82,4.3,449.11
Sousse,9/23/2024,31.4,94,0.8,351.6
Sfax,12/14/2024,16.2,29,17.6,485.76
Gabès,8/27/2024,30.2,29,16.3,355.42
Gabès,5/9/2024,37.8,,8,359.6
Gabès,1/21/2024,20.2,73,18.4,484.82
Gabès,6/19/2024,44.8,89,17.2,351.68
Sousse,5/19/2024,30.2,83,2.7,448.68
Tunis,4/4/2024,38.6,100,17.4,423.43
Sfax,1/18/2024,15.1,65,8.5,357620
Nabeul,5/10/2024,1505.7,75,19.9,401.57
Nabeul,1/4/2025,15.6,53,9.3,427.81
Sfax,11/24/2024,31,84,11.6,460.66
Sousse,2/13/2024,31.1,34,3.5,414.06
Gabès,3/5/2024,24.6,93,13.1,362.56
Sousse,3/1/2024,13.7,47,19.1,483.27
Tunis,12/31/2024,20.1,92,19.6,384.19
Nabeul,7/25/2024,43.1,38,9.1,380.18
Sfax,3/25/2024,16.8,51,9.5,484.54
Tunis,3/27/2024,44.2,62,19.8,492.01
Gabès,11/6/2024,12.3,56,5.4,459.29
Tunis,6/10/2024,19.2,55,14.6,463.41
Gabès,9/8/2024,12.2,27,17.5,473.1
Sousse,6/22/2024,44.3,31,12.7,362.13
Gabès,12/7/2024,30.2,25,17.8,362.48
Nabeul,2/7/2024,43.2,,10.6,499.39
Gabès,2/27/2024,39.5,42,17.4,411.6
Gabès,9/14/2024,44.4,61,4.6,407.5
Sfax,6/17/2024,vignt,,19.1,410.07
Sousse,7/25/2024,13.5,77,16.1,420.44
Tunis,7/16/2024,31.5,55,18.5,396.63
Nabeul,5/24/2024,37.1,65,6.6,350260
Tunis,2/9/2024,23.2,34,2.8,373.19
Sousse,5/9/2024,vignt,56,1,488.85
Gabès,8/17/2024,27.2,49,9.9,482.47
Sfax,12/18/2024,19.6,58,1.4,485.26
Sfax,10/22/2024,10.8,20,9.6,423.12
Sousse,12/15/2024,30.6,83,8.1,364.49
Sousse,5/17/2024,34.6,33,4.4,472.2
Sousse,8/28/2024,29.5,65,18.1,402.13
Gabès,3/21/2024,891,32,14.1,452.56
Nabeul,11/17/2024,32,100,2,492.59
Tunis,12/2/2024,13,100,15.1,414.9
Sfax,10/12/2024,44.3,54,13.9,416.62
Nabeul,11/28/2024,40.2,57,7.6,400.01
Tunis,8/10/2024,28.6,75,3.3,433.49
Tunis,9/10/2024,27.3,,4.9,431.21
Sfax,7/9/2024,26.5,44,3.3,395.29
Sfax,10/10/2024,26.7,40,4,468.28
Sfax,3/28/2024,22.4,41,17.3,399.7
Gabès,2/11/2024,17.5,55,18.9,379.59
Sfax,8/12/2024,vignt,32,4,355660
Gabès,11/28/2024,43.4,24,16.8,398.59
Gabès,1/25/2024,26.7,45,5.2,413.26
Gabès,7/4/2024,24.5,91,14.3,462.91
Tunis,6/19/2024,25.8,84,8,452.26
Tunis,4/29/2024,30.9,78,12.9,445.81
Sousse,8/4/2024,14.7,25,15,444.14
Gabès,3/10/2024,10.1,90,9.6,462.26
Gabès,12/16/2024,35.2,71,17.1,379.09
Gabès,12/10/2024,25.3,79,14.4,392.62
Sousse,1/15/2025,20.5,31,0.7,498.15
Tunis,10/3/2024,11.4,21,9.8,377.82
Gabès,8/23/2024,31.2,75,7.1,421.43
Sousse,3/8/2024,26,49,4.2,414570
Sfax,4/9/2024,42.8,69,5.9,394540
Tunis,10/14/2024,22,39,4.6,378.74
Nabeul,12/16/2024,28.9,74,19.6,396.38
Tunis,11/5/2024,43.1,79,6.2,363.02
Sousse,1/6/2025,39.8,20,11.9,469.76
Nabeul,7/23/2024,vignt,50,2.1,419.05
Sfax,2/3/2024,17.8,50,4.2,350.55
Nabeul,12/4/2024,324.7,,2.6,484.09
Gabès,10/19/2024,29.4,47,3.9,433070
Sfax,2/29/2024,31.9,75,14.4,489.41
Tunis,11/25/2024,20.9,43,9.6,418.87
Sfax,5/27/2024,19.4,47,5.3,450.12
Sousse,11/26/2024,32,28,1.1,359.72
Gabès,4/17/2024,12.4,32,9.5,460.11
Gabès,11/8/2024,28.3,52,9.4,411.43
Sfax,11/8/2024,41,93,14.3,434.37
Sfax,2/11/2024,18.4,71,3.7,382.93
Gabès,7/23/2024,14.7,64,3.7,428.05
Gabès,1/10/2025,20.7,28,0.5,371.62
Gabès,4/9/2024,vignt,68,14.9,353.61
Gabès,6/16/2024,24.4,72,9.3,426.65
Sousse,9/2/2024,32.9,94,17,492.33
Sousse,5/31/2024,23.5,45,6.5,467.38
Sfax,11/10/2024,24.1,,4.5,458.23
Sousse,5/24/2024,39.8,50,13.8,492.6
Sfax,3/27/2024,vignt,78,15.3,436.42
Nabeul,5/15/2024,29.1,74,19.9,354.76
Nabeul,10/18/2024,vignt,73,16.5,481.48
Sousse,4/4/2024,vignt,33,8.1,418890
Gabès,6/20/2024,18.9,68,5,477.52
Nabeul,5/30/2024,20.2,,3.3,479.19
Sfax,3/3/2024,24.4,48,11.2,379.79
Sousse,9/3/2024,30.1,100,6.6,443.77
Gabès,11/11/2024,24.6,70,7.9,403.89
Sfax,7/14/2024,13.4,32,15.8,406.42
Sousse,2/3/2024,22.8,75,17,366.97
Sfax,2/23/2024,vignt,65,3.5,498740
Sfax,4/27/2024,30.5,76,4,440.7
Nabeul,5/30/2024,1479,40,4,490.96
Gabès,11/8/2024,43.8,62,8.6,375.31
Tunis,9/3/2024,32.4,47,19,486.67
Sousse,7/27/2024,32,44,7.2,498.08
Tunis,1/21/2024,38.1,70,4.3,442.32
Gabès,10/27/2024,vignt,94,19.3,379910
Nabeul,12/7/2024,18.8,61,19.1,379.66
Gabès,1/5/2025,1623.6,32,8.6,386910
Sousse,2/7/2024,39.5,67,16.3,449.68
Tunis,2/6/2024,33.4,,18,412.66
Tunis,12/24/2024,21.1,89,8.6,362.99
Sfax,11/28/2024,vignt,,12.2,419.81
Sousse,7/23/2024,vignt,81,15.3,475.44
Sousse,4/5/2024,30.5,22,18.7,497.48
Gabès,8/10/2024,30.9,24,2.1,370.28
Tunis,5/10/2024,18.3,97,14.9,450.5
Gabès,11/4/2024,24.4,67,3.9,397.42
Tunis,8/9/2024,43.2,97,10.3,397.17
Sfax,11/15/2024,vignt,61,5.9,355.06
Tunis,12/27/2024,35.1,51,8,368.42
Tunis,8/17/2024,41,70,19.3,467.12
Gabès,8/27/2024,41,88,17.3,462.25
Tunis,7/25/2024,16,77,1.2,354
Sfax,8/7/2024,24.4,45,18,476.97
Nabeul,7/24/2024,11.2,74,12,361.09
Tunis,12/23/2024,43.8,87,9.1,377.39
Sfax,11/20/2024,35.4,76,7.3,394.22
Sfax,3/11/2024,1102,41,4,422.55
Sfax,7/11/2024,vignt,27,16.9,387710
Nabeul,1/6/2025,10.1,86,19.4,492.35
Gabès,6/26/2024,29.6,73,16.5,392.89
Gabès,10/4/2024,25.2,78,7.6,459.15
Tunis,3/30/2024,32.2,94,2.1,393.64
Sfax,3/26/2024,35.6,67,8.5,388.51
Tunis,2/29/2024,15.4,57,2.3,414.14
